Set,Spring,Gravity,Initial Pos
1,4,9.8,47
,,,
S. No.,Mass,Pos. Inc.,Pos. Dec.
1,50,56,56
2,60,57,57
3,70,59,59
4,80,61,61
5,100,64,64
6,120,67,67
7,140,71,71
8,160,74,74
9,180,77,77
10,200,80,80
,,,
,,,
Set,Spring Const.,Gravity,Initial Pos
2,4,x,47
,,,
S. No.,Mass,Pos. Inc.,Pos. Dec.
1,50,60,60
2,60,62,62
3,70,64,64
4,80,67,67
5,100,71,71
6,120,76,76
7,140,81,81
8,160,86,86
9,180,90,90
10,200,95,95
,,,
,,,
Set,Spring Const.,Gravity,Initial Pos.
3,8,9.8,47
,,,
S. No.,Mass,Pos. Inc.,Pos. Dec.
1,50,,
2,60,,
3,70,,
4,80,,
5,100,,
6,120,,
7,140,,
8,160,,
9,180,,
10,200,,
,,,
,,,
Set,Spring Const.,Gravity,Initial Pos.
3,8,9.8,47
,,,
Mass,l1,l2,l3
Blue,85,85,85
Red,113,113,113
