S. No.,Mass(g),Position of pointer while,,Mean,Extension(cm)
,,Increasing Mass,Decreasing Mass,l (cm),
1,50,56,56,56,9
2,60,57,57,57,10
3,70,59,59,59,12
4,80,61,61,61,14
5,100,64,64,64,17
6,120,67,67,67,20
7,140,71,71,71,24
8,160,74,74,74,27
9,180,77,77,77,30
10,200,80,80,80,33
,,,,,
,,,,,
S. No.,x(kg),y(m),x^2(kg^2),xy(kgm),
1,0.05,0.09,0.0025,0.0045,
2,0.06,0.1,0.0036,0.006,
3,0.07,0.12,0.0049,0.0084,
4,0.08,0.14,0.0064,0.0112,
5,0.1,0.17,0.01,0.017,
6,0.12,0.2,0.0144,0.024,
7,0.14,0.24,0.0196,0.0336,
8,0.16,0.27,0.0256,0.0432,
9,0.18,0.3,0.0324,0.054,
10,0.2,0.33,0.04,0.066,
,,,,,
,N,10,,,
,(x^2)_bar,0.01594,,,
,(x_bar)^2,0.013456,,,
,(xy)_bar,0.02679,,,
,x_bar . y_bar,0.022736,,,
,x_bar,0.116,,,
,y_bar,0.196,,,
,,,,,
,,,,,
,Linear Fit,y = a +bx ,,,
,,,,,
,b,1.63204508856683,,,
,a,0.006682769726248,,,
,,,,,
,,,,,
S. No.,x(kg),y(m),y_p,e,e^2
1,0.05,0.09,0.088285024154589,0.001714975845411,2.94114215034174E-06
2,0.06,0.1,0.104605475040258,-0.004605475040258,2.12104003464363E-05
3,0.07,0.12,0.120925925925926,-0.000925925925926,8.57338820301837E-07
4,0.08,0.14,0.137246376811594,0.002753623188406,7.58244066372613E-06
5,0.1,0.17,0.169887278582931,0.000112721417069,1.27061178660999E-08
6,0.12,0.2,0.202528180354267,-0.002528180354267,6.39169590370286E-06
7,0.14,0.24,0.235169082125604,0.004830917874396,2.33377675091603E-05
8,0.16,0.27,0.26780998389694,0.00219001610306,4.79617053166075E-06
9,0.18,0.3,0.300450885668277,-0.000450885668277,2.03297885857448E-07
10,0.2,0.33,0.333091787439613,-0.003091787439613,9.55914957175127E-06
,,,,,
,,,,,
,Σe,9.99417562597138E-16,,,
,σ_y,9.61151368760059E-06,,,
,σ_b^2,5.92816527435153E-11,,,
,σ_a^2,3.71904973296833E-09,,,
,σ_b,7.69945795127912E-06,,,
,σ_a,6.09840121094729E-05,,,
,,,,,
,Finding k1,,,,
,K1 = mg/x,,,,
,We take mean m ,,,,
,,,,,
,m ,0.116,,,
,X = a + bm,,,,
,x,0.196,,,
,g,9.8,,,
,,,,,
,k1,5.79999999999999,,,
,,,,,
,σ_k = (mg/x^2)σ_x,,,,
,σ_κ1,0.000284422343817,,,
